buy_date,buy_price,sell_date,sell_price,return_%
2003-01-24,24.81999969482422,2003-02-12,23.81999969482422,-4.029008913358418
2003-03-03,24.649999618530273,2004-07-21,34.400001525878906,39.55376088533167
2004-11-09,37.91999816894531,2005-04-26,35.04999923706055,-7.568562949549822
2005-07-18,38.72999954223633,2006-06-14,37.630001068115234,-2.8401716682736065
2006-10-24,42.13999938964844,2008-02-01,45.59000015258789,8.186997657591174
2008-06-25,47.56999969482422,2008-07-09,44.75,-5.9281053456282535
2009-06-01,36.38999938964844,2010-07-21,44.63999938964844,22.671063859228337
2010-09-28,49.369998931884766,2011-08-17,53.58000183105469,8.527451874119778
2011-12-08,56.119998931884766,2012-12-13,65.30999755859375,16.375621528188688
2013-01-28,67.1500015258789,2015-09-30,101.76000213623047,51.54132512865727
2015-11-17,111.48999786376953,2016-02-04,101.6500015258789,-8.82590055290358
2016-05-09,105.87999725341797,2016-06-28,104.45999908447266,-1.341139219664527
2016-07-15,111.80000305175781,2018-12-03,172.3300018310547,54.141321222750335
2019-04-02,182.72999572753906,2020-04-29,219.0,19.848960280468457
2020-05-21,228.8699951171875,2022-03-01,341.489990234375,49.206972307367366
2023-03-13,290.69000244140625,2024-05-24,457.95001220703125,57.53896190473191
